iter	Logloss
0	0.5458441974
1	0.4506749297
2	0.3669395701
3	0.3195127665
4	0.2818288076
5	0.2494304813
6	0.2231425231
7	0.2003835826
8	0.177734982
9	0.1633734936
10	0.1553548517
11	0.1432541829
12	0.136967357
13	0.133092874
14	0.1280039566
15	0.1224143584
16	0.1189060545
17	0.1154495098
18	0.1123830708
19	0.1110403156
20	0.1083410706
21	0.1070086478
22	0.1050848588
23	0.1037225747
24	0.1016521577
25	0.09954319151
26	0.09811194106
27	0.0972561872
28	0.09561569101
29	0.09464811091
30	0.09391051905
31	0.0928442432
32	0.09198380511
33	0.09111126126
34	0.08973035955
35	0.08772149215
36	0.08628233758
37	0.0851906277
38	0.08437532665
39	0.08270872055
40	0.08225012939
41	0.08176776891
42	0.08115632961
43	0.08011028897
44	0.07904492491
45	0.07834935008
46	0.07737255792
47	0.07650925753
48	0.07573710802
49	0.07527547814
50	0.07466462696
51	0.07420349738
52	0.07359342661
53	0.07255346
54	0.07210269284
55	0.07149091394
56	0.07092867128
57	0.07010902097
58	0.06954553419
59	0.06900769935
60	0.06833976847
61	0.06756572984
62	0.06708006178
63	0.06636972227
64	0.06596378704
65	0.06556939704
66	0.06481765623
67	0.06436816043
68	0.06398445642
69	0.06378975226
70	0.06340242711
71	0.06286006511
72	0.06249038334
73	0.06217306937
74	0.06124985241
75	0.06084885276
76	0.0603558023
77	0.06015680177
78	0.05996533404
79	0.05956855144
80	0.05902901936
81	0.05849724421
82	0.05829952603
83	0.05743211738
84	0.0573066844
85	0.05712540219
86	0.05676192426
87	0.05638758084
88	0.05590958428
89	0.0558238231
90	0.05552277227
91	0.05496007976
92	0.05465560991
93	0.05427350819
94	0.05397137926
95	0.05385835978
96	0.05358699625
97	0.05290356185
98	0.05219669911
99	0.05190677082
100	0.05163835956
101	0.05108584202
102	0.05085720451
103	0.05071346711
104	0.0502059848
105	0.04992493244
106	0.04969277365
107	0.04947666996
108	0.04904097039
109	0.04852266312
110	0.04827090983
111	0.04782847491
112	0.04759495521
113	0.04679188864
114	0.04657447663
115	0.0463144383
116	0.04598967532
117	0.04568983385
118	0.04548545245
119	0.04529725534
120	0.04498890863
121	0.04469487337
122	0.04442805084
123	0.04396839758
124	0.04351362815
125	0.04293613906
126	0.04262013012
127	0.04233887779
128	0.04214705478
129	0.04194370043
130	0.04180815976
131	0.04150096762
132	0.04138132561
133	0.04107154336
134	0.0407461124
135	0.04026112564
136	0.04013207365
137	0.04002956
138	0.03968211607
139	0.03939904426
140	0.03913044058
141	0.03863359879
142	0.03851306205
143	0.03826864134
144	0.03815083532
145	0.03797414531
146	0.03774485133
147	0.03747949197
148	0.03733391621
149	0.0371531036
150	0.03706490728
151	0.0368543521
152	0.03659974865
153	0.03637398014
154	0.03624032261
155	0.03596140087
156	0.03585916409
157	0.03553611234
158	0.03524745134
159	0.03517764417
160	0.03473409661
161	0.03458605196
162	0.03432916652
163	0.03424226741
164	0.03403887011
165	0.03368458944
166	0.03361553034
167	0.0334312464
168	0.03316697624
169	0.03279898078
170	0.03260113677
171	0.03235998393
172	0.03219326756
173	0.03188674169
174	0.03184672667
175	0.03165071097
176	0.03149875653
177	0.03129331695
178	0.0312074815
179	0.0307720813
180	0.03058098446
181	0.03043030667
182	0.03034772399
183	0.03023531198
184	0.02991851051
185	0.02974167355
186	0.02955831781
187	0.02951407069
188	0.02925887409
189	0.02912755361
190	0.02893258924
191	0.02878298292
192	0.02866285905
193	0.0285024866
194	0.02836579846
195	0.02827284041
196	0.02810627236
197	0.02802136405
198	0.02793014484
199	0.02772927069
