ensemble,auc,accuracy,num_models,complexity
Weighted Voting,0.914449774070212,0.9179372197309417,3,Low
Bayesian Average,0.914438651372958,0.9179372197309417,3,Low
Simple Average,0.9144108446298227,0.9179372197309417,3,Very Low
Blending,0.9136211331247829,0.9224215246636771,3,Medium
Stacking,0.9011692735488356,0.9170403587443946,5,High
