threshold,n_trades,n_wins,win_rate,avg_max_profit
0.05,1589,583,0.3668974197608559,0.0013839315928944823
0.1,1244,583,0.46864951768488744,0.0014847420146530765
0.15,1042,583,0.5595009596928983,0.0015868663903122993
0.2,923,583,0.6316359696641387,0.00166447025259453
0.25,835,583,0.6982035928143713,0.001718731738442752
0.3,779,583,0.748395378690629,0.0017616499835275774
0.4,690,583,0.8449275362318841,0.0018273899388455421
0.5,631,583,0.9239302694136292,0.0019020640205862417
0.6,605,583,0.9636363636363636,0.001953479157775325
0.7,592,583,0.9847972972972973,0.001982483224663659
0.8,585,583,0.9965811965811966,0.001994988598890833
