window,auc,accuracy,win_rate
1,0.7632328941796677,0.9321851453175457,0.3767491926803014
2,0.9104997680890538,0.9364908503767492,4.413347685683531
3,0.8490348602708153,0.9553283100107642,0.914962325080732
4,0.9496598639455783,0.972551130247578,0.8611410118406888
5,0.8758237225151398,0.8998923573735199,4.57481162540366
