method,avg_auc,std_auc,avg_win_rate,stability
Rolling Window,0.8829929659133109,0.030420013038719707,2.3860782203085757,Medium (adapts to recent data)
Standard TS Split,0.8709255884510287,0.06342643544594526,1.9375672766415502,Medium (baseline)
Expanding Window,0.869650221800051,0.06302060159693339,2.2282023681377825,High (more data over time)
Purged K-Fold,0.8462300881994071,0.08741451075864742,2.1851453175457483,High (prevents leakage)
