model,avg_auc,std_auc,avg_accuracy,std_accuracy,training_time
CatBoost,0.9007749004596013,0.03771962679331,0.9430570505920345,0.021850127487134535,Medium
XGBoost,0.8750919125784924,0.0443359092287602,0.9385360602798707,0.024197813436042933,Fast
LightGBM,0.8641419752448545,0.06404493512696041,0.9399354144241121,0.024495734684839048,Very Fast
