fold,auc,accuracy,win_rate
1,0.6839758869904891,0.9289558665231432,0.5920344456404736
2,0.8758174860853433,0.9359526372443487,2.960172228202368
3,0.8450734658599828,0.9542518837459634,1.4531754574811624
4,0.9451492308635165,0.9714747039827771,2.1528525296017222
5,0.8811343711977038,0.9015069967707212,3.767491926803014
