Date,Close,Volume,Open,High,Low
2011-10-03 15:30:00,1125.999,1656794,1125.999,1125.999,1125.999
2011-10-03 15:31:00,1125.9,898365,1125.9,1125.9,1125.9
2011-10-03 15:32:00,1126.1,615649,1126.1,1126.1,1126.1
2011-10-03 15:33:00,1125.6,658553,1125.6,1125.6,1125.6
2011-10-03 15:34:00,1123.8,1037283,1123.8,1123.8,1123.8
2011-10-03 15:35:00,1123.6,972779,1123.6,1123.6,1123.6
2011-10-03 15:36:00,1124.7,833122,1124.7,1124.7,1124.7
2011-10-03 15:37:00,1124.5,701220,1124.5,1124.5,1124.5
2011-10-03 15:38:00,1124.2,857222,1124.2,1124.2,1124.2
2011-10-03 15:39:00,1124.8999999999999,875219,1124.8999999999999,1124.8999999999999,1124.8999999999999
2011-10-03 15:40:00,1127.0,970326,1127.0,1127.0,1127.0
2011-10-03 15:41:00,1127.6000000000001,1258409,1127.6000000000001,1127.6000000000001,1127.6000000000001
2011-10-03 15:42:00,1127.8,925234,1127.8,1127.8,1127.8
2011-10-03 15:43:00,1128.5,910121,1128.5,1128.5,1128.5
2011-10-03 15:44:00,1128.1999999999998,576183,1128.1999999999998,1128.1999999999998,1128.1999999999998
2011-10-03 15:45:00,1129.0,1035455,1129.0,1129.0,1129.0
2011-10-03 15:46:00,1127.983,762453,1127.983,1127.983,1127.983
2011-10-03 15:47:00,1127.3,933330,1127.3,1127.3,1127.3
2011-10-03 15:48:00,1126.0,900106,1126.0,1126.0,1126.0
2011-10-03 15:49:00,1125.6,715600,1125.6,1125.6,1125.6
2011-10-03 15:50:00,1125.59,396355,1125.59,1125.59,1125.59
2011-10-03 15:51:00,1124.7,462912,1124.7,1124.7,1124.7
2011-10-03 15:52:00,1122.9,624592,1122.9,1122.9,1122.9
2011-10-03 15:53:00,1121.65,1017479,1121.65,1121.65,1121.65
2011-10-03 15:54:00,1121.2,945025,1121.2,1121.2,1121.2
2011-10-03 15:55:00,1122.2,628812,1122.2,1122.2,1122.2
2011-10-03 15:56:00,1122.3,617261,1122.3,1122.3,1122.3
2011-10-03 15:57:00,1121.5,495382,1121.5,1121.5,1121.5
2011-10-03 15:58:00,1121.7,627172,1121.7,1121.7,1121.7
2011-10-03 15:59:00,1124.0,1146841,1124.0,1124.0,1124.0
2011-10-03 16:00:00,1127.9,4330306,1127.9,1127.9,1127.9
2011-10-04 15:30:00,1086.0,2981367,1086.0,1086.0,1086.0
2011-10-04 15:31:00,1086.9,1349593,1086.9,1086.9,1086.9
2011-10-04 15:32:00,1086.027,1327303,1086.027,1086.027,1086.027
2011-10-04 15:33:00,1086.1499999999999,977610,1086.1499999999999,1086.1499999999999,1086.1499999999999
2011-10-04 15:34:00,1085.385,1152583,1085.385,1085.385,1085.385
2011-10-04 15:35:00,1084.6,1331534,1084.6,1084.6,1084.6
2011-10-04 15:36:00,1087.0,2167831,1087.0,1087.0,1087.0
2011-10-04 15:37:00,1088.6,1957515,1088.6,1088.6,1088.6
2011-10-04 15:38:00,1087.0,1215840,1087.0,1087.0,1087.0
2011-10-04 15:39:00,1085.3,1150269,1085.3,1085.3,1085.3
2011-10-04 15:40:00,1087.556,1145793,1087.556,1087.556,1087.556
2011-10-04 15:41:00,1084.7,1284492,1084.7,1084.7,1084.7
2011-10-04 15:42:00,1084.5,2046681,1084.5,1084.5,1084.5
2011-10-04 15:43:00,1083.4,1150852,1083.4,1083.4,1083.4
2011-10-04 15:44:00,1082.9,1197035,1082.9,1082.9,1082.9
2011-10-04 15:45:00,1081.6,1708771,1081.6,1081.6,1081.6
2011-10-04 15:46:00,1081.9,1523529,1081.9,1081.9,1081.9
2011-10-04 15:47:00,1084.2,1070425,1084.2,1084.2,1084.2
2011-10-04 15:48:00,1083.1,867921,1083.1,1083.1,1083.1
2011-10-04 15:49:00,1081.8000000000002,781918,1081.8000000000002,1081.8000000000002,1081.8000000000002
2011-10-04 15:50:00,1081.6,1249420,1081.6,1081.6,1081.6
2011-10-04 15:51:00,1079.8999999999999,1617627,1079.8999999999999,1079.8999999999999,1079.8999999999999
