Date,Open,High,Low,Close,Volume
2011-10-03 15:30:00,1125.999,1126.1,1123.8,1123.8,4866644
2011-10-03 15:35:00,1123.6,1124.8999999999999,1123.6,1124.8999999999999,4239562
2011-10-03 15:40:00,1127.0,1128.5,1127.0,1128.1999999999998,4640273
2011-10-03 15:45:00,1129.0,1129.0,1125.6,1125.6,4346944
2011-10-03 15:50:00,1125.59,1125.59,1121.2,1121.2,3446363
2011-10-03 15:55:00,1122.2,1124.0,1121.5,1124.0,3515468
2011-10-03 16:00:00,1127.9,1127.9,1127.9,1127.9,4330306
2011-10-04 15:30:00,1086.0,1086.9,1085.385,1085.385,7788456
2011-10-04 15:35:00,1084.6,1088.6,1084.6,1085.3,7822989
2011-10-04 15:40:00,1087.556,1087.556,1082.9,1082.9,6824853
2011-10-04 15:45:00,1081.6,1084.2,1081.6,1081.8000000000002,5952564
2011-10-04 15:50:00,1081.6,1081.6,1077.5,1077.5,9364114
2011-10-04 15:55:00,1077.6009999999999,1078.1,1075.09,1078.1,9479889
2011-10-04 16:00:00,1077.7,1077.7,1077.7,1077.7,5471005
2011-10-05 15:30:00,1123.25,1123.25,1120.0,1120.1000000000001,8694251
2011-10-05 15:35:00,1120.2,1120.2,1117.2,1118.8,6315654
2011-10-05 15:40:00,1118.72,1122.405,1118.72,1121.0,6180351
2011-10-05 15:45:00,1118.8,1121.3,1118.8,1121.1,4629111
2011-10-05 15:50:00,1121.6,1121.6,1117.7,1119.8999999999999,4738823
2011-10-05 15:55:00,1120.3,1120.8,1120.0,1120.0,3023327
2011-10-05 16:00:00,1123.3,1123.3,1123.3,1123.3,2103714
2011-10-06 15:30:00,1142.3,1145.0,1141.8000000000002,1145.0,4391787
2011-10-06 15:35:00,1145.0,1145.0,1142.5,1144.4,4618289
2011-10-06 15:40:00,1143.7,1145.8,1143.1,1143.1,4402292
2011-10-06 15:45:00,1144.4,1144.4,1139.3000000000002,1139.3000000000002,4957517
2011-10-06 15:50:00,1137.7,1138.4,1136.9,1138.1999999999998,6304974
2011-10-06 15:55:00,1136.6,1139.4,1135.9,1138.7,3916858
2011-10-06 16:00:00,1137.3999999999999,1137.3999999999999,1137.3999999999999,1137.3999999999999,748484
2011-10-07 15:30:00,1169.1,1170.8,1167.6000000000001,1167.6000000000001,7106153
2011-10-07 15:35:00,1168.0,1168.9,1166.3,1166.3,5370782
2011-10-07 15:40:00,1165.363,1166.9,1165.2,1166.2,5239381
2011-10-07 15:45:00,1164.7,1165.3,1163.8,1165.3,4150543
2011-10-07 15:50:00,1163.9,1167.3999999999999,1163.7,1166.8000000000002,4875041
2011-10-07 15:55:00,1169.1,1169.1,1167.7,1168.3,3397076
2011-10-07 16:00:00,1165.8,1165.8,1165.8,1165.8,1107007
2011-10-10 15:30:00,1178.1999999999998,1178.801,1178.1999999999998,1178.6,5076252
2011-10-10 15:35:00,1178.0,1181.1,1178.0,1181.1,4725315
2011-10-10 15:40:00,1181.3,1181.3,1179.2,1179.2,4083672
2011-10-10 15:45:00,1178.7,1180.8,1178.7,1180.8,4945238
2011-10-10 15:50:00,1182.3,1182.9,1182.1,1182.8,3430537
2011-10-10 15:55:00,1183.0,1183.1999999999998,1182.2,1183.1,3954502
2011-10-10 16:00:00,1182.2,1182.2,1182.2,1182.2,552284
2011-10-11 15:30:00,1189.1,1190.1000000000001,1188.6,1188.8,4226712
2011-10-11 15:35:00,1189.3000000000002,1190.4,1189.3000000000002,1190.1000000000001,3345012
2011-10-11 15:40:00,1189.7,1190.0,1188.5,1189.1,3526904
2011-10-11 15:45:00,1188.0,1193.1,1188.0,1193.1,4533865
2011-10-11 15:50:00,1192.8,1193.55,1192.0,1192.3999999999999,5027232
2011-10-11 15:55:00,1191.6,1192.0,1191.4,1191.8000000000002,2275220
2011-10-11 16:00:00,1191.2,1191.2,1191.2,1191.2,407287
2011-10-12 15:30:00,1206.8000000000002,1206.8000000000002,1204.7,1205.4,6833347
2011-10-12 15:35:00,1204.0,1204.6,1203.9,1204.6,5033030
2011-10-12 15:40:00,1204.7,1207.6000000000001,1204.7,1207.45,5117405
2011-10-12 15:45:00,1207.0,1207.0,1203.7,1204.6,4007569
2011-10-12 15:50:00,1205.3,1206.9,1204.8999999999999,1206.9,3416378
